#id|lastName|firstName|gender|birthday|creationDate|locationIP|browserUsed|socialmedia
1099511629352|Nunez|Jorge|female|1989-12-03|2011-04-04T05:54:52.693+0000|201.221.59.59|Opera|Facebook
1099511631838|Hartmann|Wolfgang|male|1984-02-18|2011-03-31T01:03:36.578+0000|31.22.30.104|Internet Explorer|Google+
1099511631844|Haarhoff|Lily Tembo|male|1988-10-14|2011-03-21T19:22:22.308+0000|41.217.255.5|Opera|Twitter
1099511633094|Zhang|Wei|female|1980-02-02|2011-02-16T02:02:03.568+0000|1182220171|Mozilla|Facebook
1099511636269|Zhang|Yang|male|1982-05-29|2011-03-02T02:42:04.601+0000|1203230141|Chrome|Twitter
1099511637038|Nguyen|Cam|female|1986-04-09|2011-05-02T15:28:40.609+0000|116.193.73.146|Safari|Instagram
1099511638387|Znaimer|Moses|male|1982-12-08|2011-05-12T01:03:01.291+0000|94.199.19.90|Internet Explorer|Youtube
1099511638548|Phan|Don|female|1985-08-02|2011-04-19T00:14:15.041+0000|112.72.79.36|Opera|Flickr
2199023257212|Takahashi|Koji|female|1981-04-19|2011-05-09T03:55:38.244+0000|27.120.70.192|Mozilla|Twitter
2199023258202|Chen|Ben|male|1984-09-14|2011-05-10T15:55:31.429+0000|14102130216|Safari|Youtube
2199023258994|Ngoche|Alex Obanda|female|1987-01-20|2011-07-22T16:36:27.420+0000|41.81.41.21|Opera|Google+
2199023259663|Kobayashi|Ken|male|1981-05-22|2011-07-20T18:20:03.088+0000|27110108151|Mozilla|Instagram
2199023261081|Ben Dhifallah|Karim|male|1986-11-02|2011-06-11T02:24:17.194+0000|193.95.74.75|Chrome|Twitter
2199023263797|Santos|Carlos|female|1986-06-20|2011-08-22T22:11:56.088+0000|192.207.203.63|Safari|Instagram
2199023263929|Korner|Karl|male|1982-11-03|2011-09-09T14:38:44.731+0000|78.152.88.233|Internet Explorer|Youtube
2199023264335|Fayed|Paul|male|1984-03-13|2011-09-05T04:38:58.566+0000|41217227202|Opera|Flickr
2199023266450|Charoenpura|Somchai|male|1989-01-18|2011-08-30T20:34:41.524+0000|110.76.154.132|Mozilla|Youtube
3298534883633|Abe|Kenji|male|1985-12-05|2011-08-21T10:28:03.562+0000|27.54.107.56|Chrome|Facebook
3298534886276|Li|Lei|male|1983-01-24|2011-11-26T06:24:46.501+0000|1.0.43.170|Safari|Flickr
3298534887374|Khan|Babar|female|1982-11-12|2011-10-31T14:01:58.565+0000|103.4.95.170|Chrome|Blogger
3298534889775|Williams|Jack|male|1985-01-28|2011-11-17T03:28:42.865+0000|24.51.141.74|Opera|Instagram
3298534890514|Chen|Hsin|male|1981-08-05|2011-11-03T16:32:44.238+0000|115.42.116.30|Safari|Google+
3298534890794|Wagner|Richard|female|1982-07-06|2011-11-02T10:20:46.199+0000|46.19.58.138|Chrome|Instagram
4398046511263|Basov|Irina|female|1986-01-26|2011-11-17T04:01:55.398+0000|31.24.31.94|Opera|Youtube
4398046511537|Bhiari|Ammar|male|1987-09-29|2011-12-02T15:07:04.102+0000|192.68.138.254|Opera|LinkedIn
4398046511660|Wolf|Paul|female|1981-01-04|2011-12-05T19:41:38.826+0000|199.103.93.66|Mozilla|LinkedIn
4398046512034|Burns|Frank|male|1985-08-29|2011-12-01T04:33:04.500+0000|58.96.212.18|Chrome|LinkedIn
4398046519841|Goma|Ina|male|1985-07-08|2012-01-18T11:51:14.716+0000|77.89.223.222|Mozilla|Flickr
5497558141628|Pham|Anh|male|1980-11-07|2012-02-11T13:44:43.057+0000|124.157.9.185|Safari|Facebook
5497558141707|Liu|Yang|male|1980-03-19|2012-03-29T12:54:33.083+0000|1.0.1.255|Mozilla|Blogger
5497558142395|Balmaceda|Patricio|male|1985-10-26|2012-04-03T21:29:45.401+0000|1,86156E+11|Mozilla|Google+
5497558144503|Al-Mukhaini|Isla|male|1982-05-06|2012-03-04T09:16:37.946+0000|188.65.28.43|Chrome|Youtube
5497558144676|Giannopoulos|Aris|male|1986-01-07|2012-03-04T00:37:44.459+0000|88.218.177.73|Internet Explorer|Twitter
